节点ID,节点类型,节点名称,所有属性
1,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [414.5151515151515, 1103.030303030303, 478.1515151515151, 1249.4949494949494], ""confidence"": 0.95, ""image_id"": ""img_1"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 31.818181818181813, ""location"": ""edge""}"
2,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [1198.6425339366517, 765.6108597285069, 1329.4117647058824, 819.0045248868778], ""confidence"": 0.95, ""image_id"": ""img_2"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 26.696832579185468, ""location"": ""surface""}"
3,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [1634.8754448398577, 705.3380782918149, 1712.455516014235, 759.4306049822064], ""confidence"": 0.95, ""image_id"": ""img_2"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 16.227758007117462, ""shape_regularity"": ""irregular""}"
4,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [786.0463148741567, 570.3460169723515, 2151.646314874157, 954.3460169723515], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.5562500000000004, ""position"": ""edge""}"
5,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [824.4463148741567, 608.7460169723515, 2113.2463148741567, 915.9460169723516], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 4.1953125, ""position"": ""edge""}"
6,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [1125.3478260869565, 1594.3478260869565, 1642.7391304347825, 2290.0], ""confidence"": 0.95, ""image_id"": ""img_3"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 413.9130434782608, ""shape"": ""protrusion""}"
7,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1439.9999999999998, 899.9999999999999, 1627.2727272727273, 1090.9090909090908], ""confidence"": 0.95, ""image_id"": ""img_4"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 143, ""density"": ""very_high""}"
8,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [660.4444444444445, 716.0555555555555, 727.1111111111112, 782.7222222222223], ""confidence"": 0.95, ""image_id"": ""img_5"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 17, ""density"": ""very_high""}"
9,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [1178.5, 736.8888888888889, 1227.111111111111, 793.8333333333334], ""confidence"": 0.95, ""image_id"": ""img_5"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 11, ""density"": ""very_high""}"
10,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [436.4916666666668, 565.375, 1460.0916666666667, 949.375], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.665625, ""position"": ""edge""}"
