关系ID,关系类型,起始节点ID,结束节点ID,关系属性
1,ADJACENT_TO,2,3,"{""confidence"": 0.7023947982125268}"
2,ADJACENT_TO,4,2,"{""confidence"": 0.646}"
3,ADJACENT_TO,5,2,"{""confidence"": 0.6080000000000001}"
4,ADJACENT_TO,4,3,"{""confidence"": 0.646}"
5,ADJACENT_TO,5,3,"{""confidence"": 0.6080000000000001}"
6,CONTAINS,4,5,"{""confidence"": 0.6119999999999846}"
7,ADJACENT_TO,10,8,"{""confidence"": 0.646}"
8,ADJACENT_TO,11,8,"{""confidence"": 0.6080000000000001}"
9,ADJACENT_TO,10,9,"{""confidence"": 0.646}"
10,ADJACENT_TO,11,9,"{""confidence"": 0.6080000000000001}"
11,CONTAINS,10,11,"{""confidence"": 0.611999999999979}"
12,ADJACENT_TO,12,13,"{""confidence"": 0.4481060731952403}"
13,ADJACENT_TO,15,12,"{""confidence"": 0.646}"
14,ADJACENT_TO,16,12,"{""confidence"": 0.6080000000000001}"
15,ADJACENT_TO,13,14,"{""confidence"": 0.4568888688019121}"
16,ADJACENT_TO,15,13,"{""confidence"": 0.646}"
17,ADJACENT_TO,16,13,"{""confidence"": 0.6080000000000001}"
18,ADJACENT_TO,15,14,"{""confidence"": 0.646}"
19,ADJACENT_TO,16,14,"{""confidence"": 0.6080000000000001}"
20,CONTAINS,15,16,"{""confidence"": 0.6119999999999775}"
21,ADJACENT_TO,21,19,"{""confidence"": 0.646}"
22,ADJACENT_TO,22,19,"{""confidence"": 0.6080000000000001}"
23,ADJACENT_TO,21,20,"{""confidence"": 0.646}"
24,ADJACENT_TO,22,20,"{""confidence"": 0.6080000000000001}"
25,CONTAINS,21,22,"{""confidence"": 0.6119999999999954}"
26,ADJACENT_TO,24,25,"{""confidence"": 0.3860694444444445}"
27,ADJACENT_TO,29,24,"{""confidence"": 0.646}"
28,ADJACENT_TO,30,24,"{""confidence"": 0.6080000000000001}"
29,ADJACENT_TO,25,26,"{""confidence"": 0.709465277777778}"
30,ADJACENT_TO,29,25,"{""confidence"": 0.646}"
31,ADJACENT_TO,30,25,"{""confidence"": 0.6080000000000001}"
32,ADJACENT_TO,29,26,"{""confidence"": 0.646}"
33,ADJACENT_TO,30,26,"{""confidence"": 0.6080000000000001}"
34,ADJACENT_TO,27,28,"{""confidence"": 0.5835129310344829}"
