关系ID,关系类型,起始节点ID,结束节点ID,关系属性
0,MENTIONS,969,38,{}
1,MENTIONS,969,39,{}
2,MENTIONS,969,40,{}
3,MENTIONS,970,1100,{}
4,MENTIONS,970,1103,{}
5,MENTIONS,971,41,{}
6,MENTIONS,971,42,{}
7,MENTIONS,972,1130,{}
8,MENTIONS,972,43,{}
9,MENTIONS,973,35,{}
10,MENTIONS,973,36,{}
11,MENTIONS,973,37,{}
12,MENTIONS,973,38,{}
13,MENTIONS,974,1109,{}
14,MENTIONS,974,44,{}
15,MENTIONS,974,45,{}
16,MENTIONS,975,46,{}
17,MENTIONS,975,47,{}
18,MENTIONS,975,48,{}
19,MENTIONS,976,49,{}
20,MENTIONS,976,50,{}
21,MENTIONS,976,1103,{}
22,MENTIONS,976,36,{}
23,MENTIONS,977,1109,{}
24,MENTIONS,977,51,{}
25,MENTIONS,977,52,{}
26,MENTIONS,978,1100,{}
27,MENTIONS,978,1103,{}
28,MENTIONS,978,1111,{}
29,MENTIONS,978,1169,{}
30,MENTIONS,979,1100,{}
31,MENTIONS,979,53,{}
32,MENTIONS,979,54,{}
33,MENTIONS,979,55,{}
34,MENTIONS,980,1109,{}
35,MENTIONS,980,1111,{}
36,MENTIONS,980,56,{}
37,MENTIONS,980,1103,{}
38,MENTIONS,981,1109,{}
39,MENTIONS,981,57,{}
40,MENTIONS,981,58,{}
41,MENTIONS,982,1109,{}
42,MENTIONS,982,57,{}
43,MENTIONS,983,59,{}
44,MENTIONS,983,1110,{}
45,MENTIONS,983,60,{}
46,MENTIONS,983,61,{}
47,MENTIONS,984,1109,{}
48,MENTIONS,984,62,{}
49,MENTIONS,985,63,{}
50,MENTIONS,985,64,{}
51,MENTIONS,986,65,{}
52,MENTIONS,986,66,{}
53,MENTIONS,987,67,{}
54,MENTIONS,987,1111,{}
55,MENTIONS,988,1109,{}
56,MENTIONS,988,68,{}
57,MENTIONS,989,63,{}
58,MENTIONS,989,69,{}
59,MENTIONS,990,1100,{}
60,MENTIONS,990,1103,{}
61,MENTIONS,990,1169,{}
62,MENTIONS,990,1111,{}
63,MENTIONS,991,70,{}
64,MENTIONS,991,71,{}
65,MENTIONS,991,1103,{}
66,MENTIONS,991,72,{}
67,MENTIONS,992,35,{}
68,MENTIONS,992,1103,{}
69,MENTIONS,993,1099,{}
70,MENTIONS,993,1100,{}
71,MENTIONS,993,73,{}
72,MENTIONS,993,37,{}
73,MENTIONS,994,74,{}
74,MENTIONS,994,1110,{}
75,MENTIONS,994,1099,{}
76,MENTIONS,994,1103,{}
77,MENTIONS,995,75,{}
78,MENTIONS,995,1111,{}
79,MENTIONS,995,1100,{}
80,MENTIONS,995,76,{}
81,MENTIONS,996,1100,{}
82,MENTIONS,996,75,{}
83,MENTIONS,996,77,{}
84,MENTIONS,996,76,{}
85,MENTIONS,996,78,{}
86,MENTIONS,997,1100,{}
87,MENTIONS,997,79,{}
88,MENTIONS,997,1111,{}
89,MENTIONS,998,1118,{}
90,MENTIONS,998,1110,{}
91,MENTIONS,998,1103,{}
92,MENTIONS,999,1118,{}
93,MENTIONS,999,1108,{}
94,MENTIONS,1000,80,{}
95,MENTIONS,1000,81,{}
96,MENTIONS,1001,82,{}
97,MENTIONS,1001,1111,{}
98,MENTIONS,1001,83,{}
99,MENTIONS,1001,84,{}
100,MENTIONS,1002,1100,{}
101,MENTIONS,1002,1103,{}
102,MENTIONS,1003,85,{}
103,MENTIONS,1003,1111,{}
104,MENTIONS,1003,1100,{}
105,MENTIONS,1003,86,{}
106,MENTIONS,1003,1107,{}
107,MENTIONS,1003,87,{}
108,MENTIONS,1003,1103,{}
109,MENTIONS,1003,36,{}
110,MENTIONS,1004,1118,{}
111,MENTIONS,1004,1100,{}
112,MENTIONS,1004,66,{}
113,MENTIONS,1005,1100,{}
114,MENTIONS,1005,88,{}
115,MENTIONS,1005,89,{}
116,MENTIONS,1005,1111,{}
117,MENTIONS,1006,1118,{}
118,MENTIONS,1006,1100,{}
119,MENTIONS,1006,90,{}
120,MENTIONS,1006,91,{}
121,MENTIONS,1006,1099,{}
122,MENTIONS,1007,92,{}
123,MENTIONS,1007,36,{}
124,MENTIONS,1007,93,{}
125,MENTIONS,1007,94,{}
126,MENTIONS,1008,1109,{}
127,MENTIONS,1008,1100,{}
128,MENTIONS,1008,95,{}
129,MENTIONS,1008,96,{}
130,MENTIONS,1009,1100,{}
131,MENTIONS,1009,1103,{}
132,MENTIONS,1009,97,{}
133,MENTIONS,1009,98,{}
134,MENTIONS,1010,99,{}
135,MENTIONS,1010,1110,{}
136,MENTIONS,1010,1169,{}
137,MENTIONS,1010,1103,{}
138,MENTIONS,1011,1100,{}
139,MENTIONS,1011,1103,{}
140,MENTIONS,1011,1169,{}
141,MENTIONS,1011,1111,{}
142,MENTIONS,1012,1100,{}
143,MENTIONS,1012,1103,{}
144,MENTIONS,1012,1169,{}
145,MENTIONS,1012,1111,{}
146,MENTIONS,1013,1100,{}
147,MENTIONS,1013,1103,{}
148,MENTIONS,1013,1111,{}
149,MENTIONS,1013,100,{}
150,MENTIONS,1014,1118,{}
151,MENTIONS,1014,1100,{}
152,MENTIONS,1014,101,{}
153,MENTIONS,1014,1103,{}
154,MENTIONS,1016,102,{}
155,MENTIONS,1016,1111,{}
156,MENTIONS,1016,1100,{}
157,MENTIONS,1016,1103,{}
158,MENTIONS,1017,103,{}
159,MENTIONS,1017,1103,{}
160,MENTIONS,1018,104,{}
161,MENTIONS,1018,1106,{}
162,MENTIONS,1018,105,{}
163,MENTIONS,1019,1100,{}
164,MENTIONS,1019,1103,{}
165,MENTIONS,1019,1106,{}
166,MENTIONS,1019,106,{}
167,MENTIONS,1020,1130,{}
168,MENTIONS,1020,1111,{}
169,MENTIONS,1020,1100,{}
170,MENTIONS,1020,107,{}
171,MENTIONS,1020,1113,{}
172,MENTIONS,1021,1103,{}
173,MENTIONS,1021,1110,{}
174,MENTIONS,1021,1106,{}
175,MENTIONS,1022,1103,{}
176,MENTIONS,1022,1110,{}
177,MENTIONS,1023,1099,{}
178,MENTIONS,1023,1100,{}
179,MENTIONS,1023,108,{}
180,MENTIONS,1023,1192,{}
181,MENTIONS,1024,1100,{}
182,MENTIONS,1024,109,{}
183,MENTIONS,1024,110,{}
184,MENTIONS,1025,1130,{}
185,MENTIONS,1025,111,{}
186,MENTIONS,1025,1110,{}
187,MENTIONS,1025,1103,{}
188,MENTIONS,1026,1169,{}
189,MENTIONS,1026,1111,{}
190,MENTIONS,1026,1100,{}
191,MENTIONS,1026,1103,{}
192,MENTIONS,1027,1169,{}
193,MENTIONS,1027,1111,{}
194,MENTIONS,1027,1100,{}
195,MENTIONS,1027,1103,{}
196,MENTIONS,1028,1100,{}
197,MENTIONS,1028,1103,{}
198,MENTIONS,1028,1169,{}
199,MENTIONS,1028,1111,{}
200,MENTIONS,1029,1100,{}
201,MENTIONS,1029,1103,{}
202,MENTIONS,1029,1106,{}
203,MENTIONS,1029,1111,{}
204,MENTIONS,1030,112,{}
205,MENTIONS,1030,1103,{}
206,MENTIONS,1030,113,{}
207,MENTIONS,1030,1111,{}
208,MENTIONS,1031,1169,{}
209,MENTIONS,1031,1111,{}
210,MENTIONS,1031,1100,{}
211,MENTIONS,1031,1103,{}
212,MENTIONS,1032,1169,{}
213,MENTIONS,1032,1111,{}
214,MENTIONS,1032,1100,{}
215,MENTIONS,1032,1103,{}
216,MENTIONS,1033,1169,{}
217,MENTIONS,1033,1111,{}
218,MENTIONS,1033,1100,{}
219,MENTIONS,1033,1103,{}
220,MENTIONS,1034,1109,{}
221,MENTIONS,1034,1111,{}
222,MENTIONS,1034,1100,{}
223,MENTIONS,1034,114,{}
224,MENTIONS,1035,1100,{}
225,MENTIONS,1035,1103,{}
226,MENTIONS,1035,1169,{}
227,MENTIONS,1035,1111,{}
228,MENTIONS,1036,1100,{}
229,MENTIONS,1036,1103,{}
230,MENTIONS,1036,115,{}
231,MENTIONS,1036,1174,{}
232,MENTIONS,1037,1169,{}
233,MENTIONS,1037,116,{}
234,MENTIONS,1038,1100,{}
235,MENTIONS,1038,1103,{}
236,MENTIONS,1038,1169,{}
237,MENTIONS,1038,1111,{}
238,MENTIONS,1039,1100,{}
239,MENTIONS,1039,1103,{}
240,MENTIONS,1041,1130,{}
241,MENTIONS,1041,1111,{}
242,MENTIONS,1043,1169,{}
243,MENTIONS,1043,1111,{}
244,MENTIONS,1043,1100,{}
245,MENTIONS,1043,1103,{}
246,MENTIONS,1044,1118,{}
247,MENTIONS,1044,1100,{}
248,MENTIONS,1044,117,{}
249,MENTIONS,1045,1100,{}
250,MENTIONS,1045,1103,{}
251,MENTIONS,1046,1103,{}
252,MENTIONS,1046,1110,{}
253,MENTIONS,1047,118,{}
254,MENTIONS,1047,1110,{}
255,MENTIONS,1047,1103,{}
7313,MENTIONS,914,1097,{}
7314,MENTIONS,914,1098,{}
7315,MENTIONS,914,1099,{}
7316,MENTIONS,914,1100,{}
7317,MENTIONS,914,1101,{}
7318,MENTIONS,914,1102,{}
7319,MENTIONS,915,1100,{}
7320,MENTIONS,915,1103,{}
7321,MENTIONS,915,1104,{}
7322,MENTIONS,915,1105,{}
7323,MENTIONS,915,1106,{}
7324,MENTIONS,915,1107,{}
7325,MENTIONS,915,1108,{}
7326,MENTIONS,916,1109,{}
7327,MENTIONS,916,1105,{}
7328,MENTIONS,916,1110,{}
7329,MENTIONS,916,1103,{}
7330,MENTIONS,917,1099,{}
7331,MENTIONS,917,1111,{}
7332,MENTIONS,917,1112,{}
7333,MENTIONS,917,1100,{}
7334,MENTIONS,917,1113,{}
7335,MENTIONS,917,1103,{}
7336,MENTIONS,918,1100,{}
7337,MENTIONS,918,1103,{}
7338,MENTIONS,918,1111,{}
7339,MENTIONS,918,1114,{}
7340,MENTIONS,919,1109,{}
7341,MENTIONS,919,1115,{}
7342,MENTIONS,919,1103,{}
7343,MENTIONS,919,1116,{}
7344,MENTIONS,920,1109,{}
7345,MENTIONS,920,1115,{}
7346,MENTIONS,920,1103,{}
7347,MENTIONS,920,1116,{}
7348,MENTIONS,921,1109,{}
7349,MENTIONS,921,1115,{}
7350,MENTIONS,921,1103,{}
7351,MENTIONS,921,1116,{}
7352,MENTIONS,922,1109,{}
7353,MENTIONS,922,1115,{}
7354,MENTIONS,922,1103,{}
7355,MENTIONS,922,1116,{}
7356,MENTIONS,923,1117,{}
7357,MENTIONS,923,1103,{}
7358,MENTIONS,924,1118,{}
7359,MENTIONS,924,1100,{}
7360,MENTIONS,924,1119,{}
7361,MENTIONS,925,1120,{}
7362,MENTIONS,925,1121,{}
7363,MENTIONS,926,1100,{}
7364,MENTIONS,926,1103,{}
7365,MENTIONS,926,1122,{}
7366,MENTIONS,926,1123,{}
7367,MENTIONS,927,1109,{}
7368,MENTIONS,927,1111,{}
7369,MENTIONS,927,1100,{}
7370,MENTIONS,927,1124,{}
7371,MENTIONS,927,1103,{}
7372,MENTIONS,928,1100,{}
7373,MENTIONS,928,1103,{}
7374,MENTIONS,928,1125,{}
7375,MENTIONS,928,1126,{}
7376,MENTIONS,928,1127,{}
7377,MENTIONS,928,1128,{}
7378,MENTIONS,928,1129,{}
7379,MENTIONS,929,1109,{}
7380,MENTIONS,929,1111,{}
7381,MENTIONS,929,1110,{}
7382,MENTIONS,930,1130,{}
7383,MENTIONS,930,1111,{}
7384,MENTIONS,930,1100,{}
7385,MENTIONS,930,1131,{}
7386,MENTIONS,931,1132,{}
7387,MENTIONS,931,1111,{}
7388,MENTIONS,932,1099,{}
7389,MENTIONS,932,1111,{}
7390,MENTIONS,932,1100,{}
7391,MENTIONS,933,1130,{}
7392,MENTIONS,933,1111,{}
7393,MENTIONS,933,1118,{}
7394,MENTIONS,933,1100,{}
7395,MENTIONS,933,1109,{}
7396,MENTIONS,933,1133,{}
7397,MENTIONS,933,1134,{}
7398,MENTIONS,934,1135,{}
7399,MENTIONS,934,1110,{}
7400,MENTIONS,934,1136,{}
7401,MENTIONS,934,1137,{}
7402,MENTIONS,935,1138,{}
7403,MENTIONS,935,1109,{}
7404,MENTIONS,937,1139,{}
7405,MENTIONS,937,1111,{}
7406,MENTIONS,937,1110,{}
7407,MENTIONS,937,1103,{}
7408,MENTIONS,938,1118,{}
7409,MENTIONS,938,1100,{}
7410,MENTIONS,938,1103,{}
7411,MENTIONS,938,1140,{}
7412,MENTIONS,938,1141,{}
7413,MENTIONS,938,1142,{}
7414,MENTIONS,939,1143,{}
7415,MENTIONS,939,1103,{}
7416,MENTIONS,939,1144,{}
7417,MENTIONS,939,1106,{}
7418,MENTIONS,939,1145,{}
7419,MENTIONS,940,1109,{}
7420,MENTIONS,940,1111,{}
7421,MENTIONS,940,1146,{}
7422,MENTIONS,940,1147,{}
7423,MENTIONS,941,1109,{}
7424,MENTIONS,941,1148,{}
7425,MENTIONS,941,1149,{}
7426,MENTIONS,942,1109,{}
7427,MENTIONS,942,1100,{}
7428,MENTIONS,942,1150,{}
7429,MENTIONS,942,1151,{}
7430,MENTIONS,942,1152,{}
7431,MENTIONS,942,1153,{}
7432,MENTIONS,942,1154,{}
7433,MENTIONS,943,1155,{}
7434,MENTIONS,943,1100,{}
7435,MENTIONS,943,1156,{}
7436,MENTIONS,944,1157,{}
7437,MENTIONS,944,1158,{}
7438,MENTIONS,944,1159,{}
7439,MENTIONS,944,1160,{}
7440,MENTIONS,947,1161,{}
7441,MENTIONS,947,1103,{}
7442,MENTIONS,948,1130,{}
7443,MENTIONS,948,1100,{}
