关系ID,关系类型,起始节点ID,结束节点ID,关系属性
1,MENTIONS,969,38,{}
2,MENTIONS,969,39,{}
3,MENTIONS,969,40,{}
4,MENTIONS,970,1100,{}
5,MENTIONS,970,1103,{}
6,MENTIONS,971,41,{}
7,MENTIONS,971,42,{}
8,MENTIONS,972,1130,{}
9,MENTIONS,972,43,{}
10,MENTIONS,973,35,{}
11,MENTIONS,973,36,{}
12,MENTIONS,973,37,{}
13,MENTIONS,973,38,{}
14,MENTIONS,974,1109,{}
15,MENTIONS,974,44,{}
16,MENTIONS,974,45,{}
17,MENTIONS,975,46,{}
18,MENTIONS,975,47,{}
19,MENTIONS,975,48,{}
20,MENTIONS,976,49,{}
21,MENTIONS,976,50,{}
22,MENTIONS,976,1103,{}
23,MENTIONS,976,36,{}
24,MENTIONS,977,1109,{}
25,MENTIONS,977,51,{}
26,MENTIONS,977,52,{}
27,MENTIONS,978,1100,{}
28,MENTIONS,978,1103,{}
29,MENTIONS,978,1111,{}
30,MENTIONS,978,1169,{}
31,MENTIONS,979,1100,{}
32,MENTIONS,979,53,{}
33,MENTIONS,979,54,{}
34,MENTIONS,979,55,{}
35,MENTIONS,980,1109,{}
36,MENTIONS,980,1111,{}
37,MENTIONS,980,56,{}
38,MENTIONS,980,1103,{}
39,MENTIONS,981,1109,{}
40,MENTIONS,981,57,{}
41,MENTIONS,981,58,{}
42,MENTIONS,982,1109,{}
43,MENTIONS,982,57,{}
44,MENTIONS,983,59,{}
45,MENTIONS,983,1110,{}
46,MENTIONS,983,60,{}
47,MENTIONS,983,61,{}
48,MENTIONS,984,1109,{}
49,MENTIONS,984,62,{}
50,MENTIONS,985,63,{}
51,MENTIONS,985,64,{}
52,MENTIONS,986,65,{}
53,MENTIONS,986,66,{}
54,MENTIONS,987,67,{}
55,MENTIONS,987,1111,{}
56,MENTIONS,988,1109,{}
57,MENTIONS,988,68,{}
58,MENTIONS,989,63,{}
59,MENTIONS,989,69,{}
60,MENTIONS,990,1100,{}
61,MENTIONS,990,1103,{}
62,MENTIONS,990,1169,{}
63,MENTIONS,990,1111,{}
64,MENTIONS,991,70,{}
65,MENTIONS,991,71,{}
66,MENTIONS,991,1103,{}
67,MENTIONS,991,72,{}
68,MENTIONS,992,35,{}
69,MENTIONS,992,1103,{}
70,MENTIONS,993,1099,{}
71,MENTIONS,993,1100,{}
72,MENTIONS,993,73,{}
73,MENTIONS,993,37,{}
74,MENTIONS,994,74,{}
75,MENTIONS,994,1110,{}
76,MENTIONS,994,1099,{}
77,MENTIONS,994,1103,{}
78,MENTIONS,995,75,{}
79,MENTIONS,995,1111,{}
80,MENTIONS,995,1100,{}
81,MENTIONS,995,76,{}
82,MENTIONS,996,1100,{}
83,MENTIONS,996,75,{}
84,MENTIONS,996,77,{}
85,MENTIONS,996,76,{}
86,MENTIONS,996,78,{}
87,MENTIONS,997,1100,{}
88,MENTIONS,997,79,{}
89,MENTIONS,997,1111,{}
90,MENTIONS,998,1118,{}
91,MENTIONS,998,1110,{}
92,MENTIONS,998,1103,{}
93,MENTIONS,999,1118,{}
94,MENTIONS,999,1108,{}
95,MENTIONS,1000,80,{}
96,MENTIONS,1000,81,{}
97,MENTIONS,1001,82,{}
98,MENTIONS,1001,1111,{}
99,MENTIONS,1001,83,{}
100,MENTIONS,1001,84,{}
101,MENTIONS,1002,1100,{}
102,MENTIONS,1002,1103,{}
103,MENTIONS,1003,85,{}
104,MENTIONS,1003,1111,{}
105,MENTIONS,1003,1100,{}
106,MENTIONS,1003,86,{}
107,MENTIONS,1003,1107,{}
108,MENTIONS,1003,87,{}
109,MENTIONS,1003,1103,{}
110,MENTIONS,1003,36,{}
111,MENTIONS,1004,1118,{}
112,MENTIONS,1004,1100,{}
113,MENTIONS,1004,66,{}
114,MENTIONS,1005,1100,{}
115,MENTIONS,1005,88,{}
116,MENTIONS,1005,89,{}
117,MENTIONS,1005,1111,{}
118,MENTIONS,1006,1118,{}
119,MENTIONS,1006,1100,{}
120,MENTIONS,1006,90,{}
121,MENTIONS,1006,91,{}
122,MENTIONS,1006,1099,{}
123,MENTIONS,1007,92,{}
124,MENTIONS,1007,36,{}
125,MENTIONS,1007,93,{}
126,MENTIONS,1007,94,{}
127,MENTIONS,1008,1109,{}
128,MENTIONS,1008,1100,{}
129,MENTIONS,1008,95,{}
130,MENTIONS,1008,96,{}
131,MENTIONS,1009,1100,{}
132,MENTIONS,1009,1103,{}
133,MENTIONS,1009,97,{}
134,MENTIONS,1009,98,{}
135,MENTIONS,1010,99,{}
136,MENTIONS,1010,1110,{}
137,MENTIONS,1010,1169,{}
138,MENTIONS,1010,1103,{}
139,MENTIONS,1011,1100,{}
140,MENTIONS,1011,1103,{}
141,MENTIONS,1011,1169,{}
142,MENTIONS,1011,1111,{}
143,MENTIONS,1012,1100,{}
144,MENTIONS,1012,1103,{}
145,MENTIONS,1012,1169,{}
146,MENTIONS,1012,1111,{}
147,MENTIONS,1013,1100,{}
148,MENTIONS,1013,1103,{}
149,MENTIONS,1013,1111,{}
150,MENTIONS,1013,100,{}
151,MENTIONS,1014,1118,{}
152,MENTIONS,1014,1100,{}
153,MENTIONS,1014,101,{}
154,MENTIONS,1014,1103,{}
155,MENTIONS,1016,102,{}
156,MENTIONS,1016,1111,{}
157,MENTIONS,1016,1100,{}
158,MENTIONS,1016,1103,{}
159,MENTIONS,1017,103,{}
160,MENTIONS,1017,1103,{}
161,MENTIONS,1018,104,{}
162,MENTIONS,1018,1106,{}
163,MENTIONS,1018,105,{}
164,MENTIONS,1019,1100,{}
165,MENTIONS,1019,1103,{}
166,MENTIONS,1019,1106,{}
167,MENTIONS,1019,106,{}
168,MENTIONS,1020,1130,{}
169,MENTIONS,1020,1111,{}
170,MENTIONS,1020,1100,{}
171,MENTIONS,1020,107,{}
172,MENTIONS,1020,1113,{}
173,MENTIONS,1021,1103,{}
174,MENTIONS,1021,1110,{}
175,MENTIONS,1021,1106,{}
176,MENTIONS,1022,1103,{}
